Sample ID,raw_material,RM_PSA_D50,PS_Temp,PS_Ratio,p-Si_pore_volume,p-Si_pore_size,p-Si_domain_size,p-Si_Oxygen,C_condition,Carbon,c-Oxygen,c-Si_domain_size,c-Surface_area,FCETemp,LiCap,DeliCap,FCE
CEQ9-M1-e29,S5,5,850,0.91,0.82,3.11,2.5,0.8,200,40.7,1,2.8,9.4,25,1889,1548,81.9
CEQ9-M2-e32,S6,5,850,0.92,0.78,3.11,2.4,1,200,41.6,1.3,2.6,20.7,25,1962,1613,82.2
CEQ9-M3-e33,S6,5,845,0.85,0.81,3.11,2,1,200,41.3,1.4,2.1,19.8,25,1933,1579,81.7
CEQ9-M4-e34,S6,5,845,0.83,0.77,3.11,2,1,200,41.5,1.1,1.9,9,25,1938,1595,82.3
CEQ10-40C-e46,S6,5,845,0.85,0.79,3.11,1.9,1.8,200,38.9,2.6,1.9,23,25,1922,1560,81.1
CEQ10-40C-e47,S6,5,845,0.86,0.8,3.11,2,0.9,200,41.4,1.8,2.1,21,25,1922,1567,81.5
CEQ10-40C-e48,S6,5,845,0.87,0.82,3.11,2.1,1.9,200,41.7,2,2.1,8.7,25,1848,1504,81.4
CEQ10-40C-e49,S6,5,845,0.86,0.83,3.11,2,1.9,200,41.8,2.1,2.1,11.7,25,1960,1596,81.5
CEQ10-40C-e50,S6,5,845,0.86,0.81,3.11,2.1,1.9,200,42.7,1.7,2.3,6.1,25,1847,1505,81.5
CEQ10-40C-e51,S6,5,845,0.88,0.8,3.11,2.1,1,200,43,2,2.2,8.1,25,1968,1607,81.7
CEQ10-40C-e52,S6,5,845,0.85,0.79,3.11,2.1,1.4,200,40.3,2,2,7,25,1923,1569,81.6
CEQ10-40C-e57,S6,5,845,0.96,0.81,3.11,2.1,1.1,200,40.3,1.8,2.3,7.3,25,1909,1567,82.1
CEQ10-40C-e58,S6,5,845,0.92,0.83,3.11,2,0.9,200,41.2,1.8,2.1,7.5,25,1986,1633,82.2
CEQ11-40C-e53,S6,5,845,0.86,0.82,3.11,2,1,300,39.3,1.7,2.2,11.6,25,2051,1709,83.3
CEQ11-40C-e54,S6,5,845,0.89,0.79,3.11,2.3,0.9,300,39.3,1.4,2.5,7.4,25,2037,1696,83.2
CEQ11-40C-e56,S6,5,845,0.88,0.82,3.11,2.1,0.9,300,39.7,1.6,2.4,4.4,25,1994,1663,83.4
CEQ11-40C-e59,S6,5,845,0.88,0.81,3.11,2.1,0.9,300,39.5,1.2,2.4,4.1,25,2007,1681,83.7
CEQ11-40C-e60,S6,5,845,0.89,0.79,3.11,2.2,0.9,300,39.8,1.4,2.6,4.9,25,2099,1773,84.5
CEQ11-40C-e61,S6,5,845,0.87,0.79,3.11,2.1,1,300,40.2,1.4,2.4,4.4,25,2049,1725,84.2
CEQ11-40C-e62,S6,5,845,0.9,0.77,3.11,2.2,1,300,40.4,1.2,2.3,4.6,25,2021,1705,84.4
CEQ11-40C-e63,S6,5,845,0.9,0.79,3.11,2.3,0.9,300,40.7,0.8,2.6,4.3,25,2089,1764,84.4
CEQ11-40C-e64,S6,5,845,0.89,0.84,3.11,2.1,1,300,40.1,0.9,2.7,4.3,25,2080,1770,85.1
CEQ11-40C-e65,S6,5,845,0.95,0.76,3.4,2.6,0.9,300,39.1,1.1,2.7,7.2,25,2080,1756,84.4
CEQ11-40C-e66,S6,5,845,0.89,0.81,3.11,2.1,0.9,300,39.5,1,2.4,3.6,25,2117,1795,84.8
CEQ11-40C-e67,S6,5,845,0.88,0.83,3.11,2,0.9,300,40.4,1.1,2.3,3.7,25,2085,1763,84.6
CEQ11-40C-e68,S6,5,845,0.86,0.86,3.11,2,0.9,300,40.2,1.2,2.3,3.6,25,2074,1745,84.2
CEQ11-40C-e69,S6,5,845,0.9,0.84,3.11,2.1,1,300,40,1.1,2.6,3.6,25,2071,1756,84.8
CEQ11-40C-e70,S6,5,845,0.87,0.84,3.11,2.1,0.9,300,39,1.1,2.4,3.8,25,2045,1727,84.4
CEQ11-40C-E71,S6,5,845,0.87,0.81,3.11,2.1,1,300,40.9,1,2.3,3.9,25,2008,1694,84.3
CEQ11-40C-E72,S6,5,845,0.94,0.82,3.11,2.3,0.9,300,40.8,0.9,2.5,3.9,25,1988,1678,84.4
CEQ11-40C-E73,S6,5,845,0.88,0.82,3.11,2.3,0.9,300,40.4,1,2.4,3.6,25,2044,1729,84.6
CEQ13-e74,S6,5,845,0.87,0.82,3.11,2.2,0.9,400,37.5,1,2.3,7.4,25,2166,1852,85.5
CEQ13-e76,S6,5,845,0.88,0.84,3.11,2.2,1,400,37,1.1,2.4,7.4,25,2227,1913,85.9
CEQ13-e77,S6,5,845,0.9,0.81,3.11,2.2,0.9,400,36.5,1.2,2.6,8.6,25,2215,1897,85.7
CEQ13-e78,S6,5,845,0.86,0.81,3.11,2.2,0.9,400,37.4,0.9,2.4,6.3,25,2161,1860,86.1
CEQ13-e79,S6,5,845,0.91,0.8,3.11,2.2,1,400,36.7,1.1,2.4,12.3,25,2101,1791,85.2
CEQ13-e80,S6,5,845,0.9,0.82,3.11,2.1,0.9,400,37.2,1,2.5,9.8,25,2084,1778,85.3
CEQ13-e81,S6,5,845,0.9,0.83,3.11,2.3,1,400,37.2,1,2.3,12.2,25,2090,1775,84.9
CEQ13-e82,S6,5,845,0.9,0.82,3.11,2.3,1,400,37.4,1.1,2.3,9.2,25,2104,1795,85.3
CEQ13-e83,S6,5,845,0.87,0.83,3.11,2.2,1,400,37.4,1,2.3,9.2,25,2117,1801,85.1
CEQ13-e84,S6,5,845,0.9,0.85,3.11,2.3,0.9,400,37.7,0.9,2.6,9.4,25,2083,1785,85.7
CEQ13-e85,S6,5,845,0.92,0.82,3.11,2.3,0.9,400,38.2,1.2,2.5,18.1,25,2041,1730,84.8
CEQ.11-E106,DS7,7,835,0.9,0.89,3.11,2.2,0.9,300,39.8,1,2.4,3.1,25,2076,1764,85
CEQ.11-E107,DS7,7,835,0.92,0.82,3.25,2.4,0.8,300,40.6,1.1,2.5,3.7,25,2060,1744,84.7
CEQ.11-E108,DS7,7,835,0.94,0.78,3.25,2.4,0.8,300,40.7,1.2,2.6,4.3,25,2078,1754,84.4
CEQ.11-E118,DS7,7,838,0.97,0.77,3.11,2.5,0.8,300,40.2,1,2.6,4.4,25,2062,1753,85
CEQ.11-E119,DS7,7,838,0.97,0.77,3.11,2.5,0.9,300,40.5,1.5,2.6,6.2,25,2095,1760,84
CEQ.11-E109,DS8,7,835,0.84,0.84,2.97,2,1.1,300,37.1,2.2,2.4,2.6,25,2094,1751,83.6
CEQ.11-E110,DS8,7,835,0.83,0.85,2.97,1.8,1,300,36,1.3,2.2,2.4,25,2127,1806,84.9
CEQ.11-E111,DS8,7,835,0.84,0.85,2.97,2,1.1,300,38.5,1.1,2.2,2.4,25,2071,1754,84.7
CEQ.11-E112,DS8,7,835,0.84,0.85,2.97,2,0.8,300,37.7,1.6,2.1,2.3,25,2072,1741,84
CEQ.11-E113,DS8,7,835,0.85,0.87,2.97,2,0.9,300,39.1,1.7,2.3,2.5,25,2071,1740,84
CEQ.11-E114,DS8,7,835,0.85,0.84,2.97,2,0.9,300,38.4,1,2.3,2.3,25,2123,1805,85
CEQ.11-E115,DS8,7,835,0.86,0.82,2.97,2,1,300,38.1,1.2,2.3,2.3,25,2112,1792,84.8
CEQ.9-e144,DS9,10,835,0.83,0.85,2.97,1.9,1,200,37.2,2,2,2.1,25,2087,1747,83.7
CEQ.9-e145,DS9,10,835,0.83,0.86,2.97,1.9,0.9,200,37,2.1,2.1,2.1,25,2077,1736,83.6
CEQ.9-e151,DS9,10,838,0.85,0.83,2.97,2,1,200,38.2,1.7,2.4,2,25,2115,1771,83.7
CEQ.9-e152,DS9,10,838,0.85,0.84,2.97,2,1,200,38.4,2.2,2.3,2.3,25,2072,1722,83.1
CEQ.9-e153,DS9,10,835,0.83,0.87,2.97,1.9,0.9,200,38.7,1.8,2,2,25,2054,1710,83.3
CEQ.9-e155,DS9,10,835,0.84,0.88,2.97,2,1,200,39.9,1.5,2.3,2.1,25,2057,1720,83.6
CEQ.9-e157,DS9,10,835,0.84,0.85,2.97,2,1.1,200,38,2,2.3,1.9,25,2071,1726,83.3
CEQ.11-e150,DS9,10,835,0.83,0.85,2.97,1.9,0.9,300,37.6,2,2,1.9,25,2113,1780,84.2
